isoTimestamp,accelX_mean,accelX_var,accelX_max,accelX_min,accelY_mean,accelY_var,accelY_max,accelY_min,accelZ_mean,accelZ_var,accelZ_max,accelZ_min,rateX_mean,rateX_var,rateX_max,rateX_min,rateY_mean,rateY_var,rateY_max,rateY_min,rateZ_mean,rateZ_var,rateZ_max,rateZ_min,timestamp_mean,timestamp_var,timestamp_max,timestamp_min,impact
2025-03-11 23:58:01.500000+00:00,1.4724138,0.23635466,2.5,0.6,-1.3793104,0.11527093,-0.4,-2.0,-1.2206897,0.078128085,-0.8,-2.0,-3.7551725,178.36967,16.6,-21.7,-5.3586206,291.28537,21.7,-38.8,6.0689654,603.53436,35.6,-30.7,1741737482.8508623,0.0073763779272297825,1741737482.992,1741737482.71,1
2025-03-11 23:58:03+00:00,1.3633589,0.17710862,2.4,0.6,-1.2854961,0.089864925,-0.6,-2.0,-1.1114504,0.13856019,-0.2,-2.2,-1.4656489,332.8517,31.7,-38.6,-2.8503819,1999.0155,90.0,-82.5,-3.8374047,423.57492,31.0,-36.4,1741737483.7282596,0.2135118051295981,1741737484.499,1741737483.002,0
2025-03-11 23:58:04.500000+00:00,1.445946,0.10835078,2.2,0.6,-1.2378378,0.07257218,-0.6,-2.2,-1.0337838,0.101980135,-0.2,-1.8,6.1452703,159.52794,28.8,-18.3,4.2445946,951.6971,71.2,-59.0,-4.239189,115.204544,17.8,-28.5,1741737485.2493582,0.1863658766781042,1741737485.99,1741737484.509,0
2025-03-11 23:58:06+00:00,1.4993289,0.07655362,2.2,0.8,-1.2859061,0.06554328,-0.8,-2.2,-0.90604025,0.12030112,0.0,-1.8,0.26845634,153.04576,41.5,-15.4,0.85100675,741.1467,59.5,-50.8,-1.1885905,47.43683,12.2,-15.9,1741737486.7448657,0.18891007084869638,1741737487.49,1741737486.0,0
2025-03-11 23:58:07.500000+00:00,1.4751678,0.08890622,2.2,0.6,-1.2751678,0.0753927,-0.6,-2.0,-0.82684565,0.116571695,-0.2,-1.8,-1.6342282,378.56433,38.3,-28.5,-0.6979866,552.2797,45.9,-43.7,2.142282,121.32595,22.4,-19.3,1741737488.2453892,0.18889789008134675,1741737488.991,1741737487.5,0
2025-03-11 23:58:09+00:00,1.485906,0.06500271,2.0,0.8,-1.3114094,0.059666246,-0.6,-2.0,-0.738255,0.10210774,0.0,-1.4,0.8181209,279.99796,27.1,-25.4,-1.7087247,460.53488,32.2,-44.9,-3.9154365,51.800632,15.1,-20.5,1741737489.7459598,0.18887810545347586,1741737490.491,1741737489.001,0
2025-03-11 23:58:10.500000+00:00,1.405369,0.06970068,2.0,0.6,-1.3785235,0.10602218,-0.6,-2.2,-0.7852349,0.097888626,-0.2,-1.6,-36.68188,3444.6033,10.0,-195.9,19.688591,1182.3657,114.7,-41.0,7.928859,370.3722,66.6,-13.9,1741737491.2465167,0.18889946566232954,1741737491.992,1741737490.501,0
2025-03-11 23:58:12+00:00,1.3825504,0.07293667,2.2,0.6,-1.5355705,0.07636133,-1.0,-2.2,-0.27919465,0.13341554,0.6,-1.4,1.9812081,67.78424,40.0,-13.2,8.385235,309.18857,50.5,-38.8,-4.667785,90.69812,20.7,-24.4,1741737492.747047,0.18890969179281186,1741737493.492,1741737492.002,0
2025-03-11 23:58:13.500000+00:00,1.4483222,0.07873027,2.2,0.8,-1.218792,0.09586066,-0.4,-2.2,-0.5583893,0.11474335,0.2,-2.2,42.68121,2958.135,158.1,-23.9,-21.336912,892.54865,26.1,-88.1,0.8147651,217.63101,26.6,-31.2,1741737494.2475972,0.18889661742739663,1741737494.993,1741737493.502,0
2025-03-11 23:58:15+00:00,1.4945946,0.06228347,2.0,0.8,-1.322973,0.093890406,-0.6,-2.0,-0.5148649,0.09528774,0.4,-1.4,-4.768919,315.5542,33.9,-42.5,-0.24459462,203.63661,28.8,-28.5,-0.6702703,102.02279,19.0,-22.0,1741737495.746446,0.1897334898175518,1741737496.493,1741737495.003,0
