accelX,accelY,accelZ,rateX,rateY,rateZ,timestamp,isoTimestamp
1.2,-0.8,-1.2,22.7,32.7,-4.1,1741737724.6,2025-03-12T00:02:04.600Z
1.2,-1.4,-1.4,23.2,31.2,-1,1741737724.61,2025-03-12T00:02:04.610Z
1.2,-1.4,-1,23.9,29.3,2.7,1741737724.62,2025-03-12T00:02:04.620Z
1,-1.4,-1.4,24.9,29,6.1,1741737724.63,2025-03-12T00:02:04.630Z
1,-1,-1.2,26.8,27.1,8.3,1741737724.64,2025-03-12T00:02:04.640Z
1.2,-1,-1.2,27.3,24.6,9.8,1741737724.65,2025-03-12T00:02:04.650Z
1.4,-1.6,-1.4,26.8,22.9,11.5,1741737724.66,2025-03-12T00:02:04.660Z
1,-1.4,-1,25.6,20.5,11.7,1741737724.67,2025-03-12T00:02:04.670Z
1.2,-1,-0.8,23.7,19,12.2,1741737724.68,2025-03-12T00:02:04.680Z
1.2,-1.4,-1.4,20.5,17.3,11.7,1741737724.69,2025-03-12T00:02:04.690Z
1.6,-1.4,-1.2,17.1,12.7,10.7,1741737724.7,2025-03-12T00:02:04.700Z
1.4,-1.4,-0.8,12.9,6.3,9.5,1741737724.71,2025-03-12T00:02:04.710Z
1.6,-1.6,-1.4,7.8,0,7.1,1741737724.72,2025-03-12T00:02:04.720Z
1.6,-1.2,-1.4,3.4,-4.9,6.6,1741737724.73,2025-03-12T00:02:04.730Z
1.2,-1.4,-1.6,-1,-5.1,5.6,1741737724.741,2025-03-12T00:02:04.741Z
1.6,-1,-1.4,-4.9,-1.7,4.6,1741737724.751,2025-03-12T00:02:04.751Z
1.2,-1.2,-1.2,-9,0,3.7,1741737724.761,2025-03-12T00:02:04.761Z
1.4,-1.2,-1.8,-13.2,1,3.7,1741737724.771,2025-03-12T00:02:04.771Z
1.4,-1,-2,-17.6,2.2,2.4,1741737724.781,2025-03-12T00:02:04.781Z
1.2,-1.4,-1.2,-21.7,2.4,2,1741737724.791,2025-03-12T00:02:04.791Z
